,heart,sleep,step
2018-06-1 0.0時,75.0,3.0,17.0
2018-06-1 0.5時,74.0,3.0,82.0
2018-06-1 0.75時,68.7,2.3,0.0
2018-06-1 1.0時,65.7,2.0,0.0
2018-06-1 1.25時,63.0,1.7,0.0
2018-06-1 1.5時,65.3,1.0,0.0
2018-06-1 1.75時,67.7,2.0,0.0
2018-06-1 2.0時,66.3,1.3,0.0
2018-06-1 2.25時,65.0,1.0,0.0
2018-06-1 2.5時,71.7,1.3,0.0
2018-06-1 2.75時,71.7,1.0,0.0
2018-06-1 3.0時,77.7,1.3,0.0
2018-06-1 3.25時,57.0,2.0,0.0
2018-06-1 3.5時,57.7,2.0,0.0
2018-06-1 3.75時,61.0,1.7,0.0
2018-06-1 4.0時,63.3,1.0,0.0
2018-06-1 4.25時,60.3,2.0,0.0
2018-06-1 4.5時,58.3,2.0,0.0
2018-06-1 4.75時,60.7,1.0,0.0
2018-06-1 5.0時,67.0,1.7,0.0
2018-06-1 5.25時,69.7,2.0,0.0
2018-06-1 5.5時,69.7,2.3,0.0
2018-06-1 5.75時,66.7,2.0,0.0
2018-06-1 6.0時,79.3,2.7,88.0
2018-06-1 6.25時,78.0,3.0,69.5
2018-06-1 6.75時,78.3,3.0,153.0
2018-06-1 7.0時,83.7,3.0,261.3
2018-06-1 7.25時,84.7,3.0,295.0
2018-06-1 7.5時,82.0,3.0,428.7
2018-06-1 7.75時,96.7,3.0,108.5
2018-06-1 21.5時,74.7,3.0,183.3
2018-06-1 21.75時,94.0,3.0,177.0
2018-06-1 22.25時,77.3,3.0,32.0
2018-06-1 22.75時,72.0,3.0,58.0
2018-06-1 23.0時,78.0,3.0,42.0
2018-06-1 23.25時,82.0,3.0,72.0
2018-06-2 0.0時,82.7,3.0,12.0
2018-06-2 0.25時,70.0,3.0,156.0
2018-06-2 0.5時,69.3,1.7,0.0
2018-06-2 0.75時,65.7,1.0,0.0
2018-06-2 1.0時,62.0,2.0,0.0
2018-06-2 1.25時,60.3,2.0,0.0
2018-06-2 1.5時,60.3,2.0,0.0
2018-06-2 1.75時,60.0,2.0,0.0
2018-06-2 2.0時,63.3,1.3,0.0
2018-06-2 2.25時,63.0,1.0,0.0
2018-06-2 2.5時,62.3,1.3,0.0
2018-06-2 2.75時,62.0,2.0,0.0
2018-06-2 3.0時,61.3,2.0,0.0
2018-06-2 3.25時,59.0,2.0,0.0
2018-06-2 3.5時,59.7,2.0,0.0
2018-06-2 3.75時,73.0,2.0,0.0
2018-06-2 4.0時,57.0,2.0,0.0
2018-06-2 4.25時,55.0,2.0,0.0
2018-06-2 4.5時,78.3,2.0,0.0
2018-06-2 4.75時,68.7,2.3,0.0
2018-06-2 5.0時,59.0,2.0,0.0
2018-06-2 5.25時,75.3,2.0,0.0
2018-06-2 5.5時,81.3,2.0,0.0
2018-06-2 5.75時,66.0,2.3,0.0
2018-06-2 6.0時,99.3,3.0,299.5
2018-06-2 7.0時,124.0,3.0,70.0
2018-06-2 7.25時,96.0,3.0,49.0
2018-06-2 8.0時,92.3,3.0,48.0
2018-06-2 8.75時,84.3,3.0,37.0
2018-06-2 9.0時,93.0,3.0,160.5
2018-06-2 9.25時,107.3,3.0,221.3
2018-06-2 9.5時,105.7,3.0,229.3
2018-06-2 9.75時,84.2,3.0,191.7
2018-06-2 21.5時,74.0,3.0,349.7
2018-06-2 21.75時,101.3,3.0,278.3
2018-06-2 22.0時,102.0,3.0,91.5
2018-06-2 22.25時,85.0,3.0,27.5
2018-06-2 22.5時,75.7,3.0,54.0
2018-06-2 23.0時,77.3,3.0,15.0
2018-06-2 23.25時,84.3,3.0,93.0
2018-06-2 23.5時,88.3,3.0,33.5
2018-06-3 0.0時,73.3,2.7,0.0
2018-06-3 0.25時,66.0,1.3,0.0
2018-06-3 0.5時,63.3,1.0,0.0
2018-06-3 0.75時,64.3,1.0,0.0
2018-06-3 1.0時,67.7,2.0,0.0
2018-06-3 1.25時,68.3,2.0,0.0
2018-06-3 1.5時,68.3,1.0,0.0
2018-06-3 1.75時,68.3,1.0,0.0
2018-06-3 2.0時,65.0,1.7,0.0
2018-06-3 2.25時,75.0,2.0,0.0
2018-06-3 2.5時,67.0,2.0,0.0
2018-06-3 2.75時,68.3,1.7,10.0
2018-06-3 3.0時,67.0,1.0,0.0
2018-06-3 3.25時,66.0,1.7,0.0
2018-06-3 3.5時,67.7,1.0,0.0
2018-06-3 3.75時,66.0,1.7,0.0
2018-06-3 4.0時,70.0,2.0,0.0
2018-06-3 4.25時,79.0,2.3,0.0
2018-06-3 4.5時,71.0,3.0,30.5
2018-06-3 5.75時,65.3,2.3,0.0
2018-06-3 6.0時,61.7,2.0,0.0
2018-06-3 6.25時,60.7,2.0,0.0
2018-06-3 6.5時,61.3,2.0,0.0
2018-06-3 6.75時,62.7,2.0,0.0
2018-06-3 7.0時,74.0,3.0,56.0
2018-06-3 8.0時,97.5,3.0,64.0
2018-06-3 8.25時,91.7,3.0,45.5
2018-06-3 8.5時,99.0,3.0,133.7
2018-06-3 8.75時,96.5,3.0,226.0
2018-06-3 21.75時,83.0,3.0,51.0
2018-06-3 22.25時,78.3,3.0,98.5
2018-06-3 22.75時,74.3,1.0,0.0
2018-06-3 23.0時,75.0,1.0,0.0
2018-06-3 23.25時,74.7,1.3,0.0
2018-06-3 23.5時,72.0,2.0,0.0
2018-06-3 23.75時,74.0,1.3,0.0
2018-06-4 0.0時,73.7,1.0,0.0
2018-06-4 0.25時,75.0,1.0,0.0
2018-06-4 0.5時,69.0,1.3,0.0
2018-06-4 0.75時,65.3,1.0,0.0
2018-06-4 1.0時,66.0,1.7,0.0
2018-06-4 1.25時,68.7,1.3,0.0
2018-06-4 1.5時,64.0,1.3,0.0
2018-06-4 1.75時,62.7,2.0,0.0
2018-06-4 2.0時,64.3,2.0,0.0
